method,policy,prevalence,q_or_far,mean_alerts,std_alerts,mean_true_discoveries,std_true_discoveries,mean_false_discoveries,std_false_discoveries,mean_false_discovery_proportion,std_false_discovery_proportion,mean_power,std_power,mean_false_alarm_rate,std_false_alarm_rate,mean_alert_rate,std_alert_rate,empirical_fdr,empirical_fdr_se,empirical_fdr_ci95_low,empirical_fdr_ci95_high,fdp_p90,probability_any_alert,nominal_q,fraction_fdp_above_q,minimum_bh_rejections_at_pmin
hedl,bh_marginal,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,5.0
hedl,bh_marginal,0.5,0.1,236.025,13.664110456698758,228.075,12.44846159089144,7.95,3.012119572926686,0.03343832652661413,0.011759163748197299,0.228075,0.01244846159089144,0.00795,0.003012119572926686,0.11801249999999999,0.006832055228349379,0.03343832652661413,0.000831498442743333,0.0318085895788372,0.035068063474391065,0.049068976183111665,1.0,0.1,0.0,3.0
hedl,bh_marginal,0.5,0.2,994.37,17.661902900603653,898.025,11.67888508308561,96.345,9.89725991215974,0.0967830486953662,0.008671179520571917,0.898025,0.01167888508308562,0.09634499999999999,0.009897259912159739,0.497185,0.008830951450301825,0.0967830486953662,0.0006131449839882318,0.09558128452674927,0.09798481286398314,0.10821953184719955,1.0,0.2,0.0,2.0
hedl,bh_marginal,0.25,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,5.0
hedl,bh_marginal,0.25,0.1,3.86,20.638072832783017,3.62,19.397083135638056,0.24,1.389985719893387,0.0022231669433172225,0.012931274812740964,0.00724,0.03879416627127611,0.00016,0.0009266571465955915,0.0019299999999999999,0.010319036416391507,0.0022231669433172225,0.0009143792109475938,0.0004309836898599387,0.004015350196774506,0.0,0.035,0.1,0.005,3.0
hedl,bh_marginal,0.25,0.2,158.69,82.08112116839844,139.205,67.76928771046602,19.485,15.083012341920718,0.11422246124895546,0.033097598587171734,0.27841,0.135538575420932,0.01299,0.010055341561280478,0.07934500000000001,0.04104056058419922,0.11422246124895546,0.0023403536401979427,0.10963536811416749,0.11880955438374344,0.15436735096723253,1.0,0.2,0.005,2.0
hedl,bh_marginal,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,5.0
hedl,bh_marginal,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.0
hedl,bh_marginal,0.1,0.2,0.685,5.505207676172529,0.46,4.3419653748714895,0.225,1.2458473736344913,0.04375757575757575,0.18658802003399286,0.0023,0.021709826874357446,0.000125,0.0006921374297969397,0.00034250000000000003,0.0027526038380862646,0.04375757575757575,0.013193765425420773,0.017897795523751037,0.06961735599140047,0.0,0.06,0.2,0.055,2.0
hedl,bh_marginal,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,5.0
hedl,bh_marginal,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.0
hedl,bh_marginal,0.05,0.2,0.185,0.6951193816704215,0.015,0.12185748327926266,0.17,0.6349138350118442,0.06541666666666666,0.2413896205540387,0.00015,0.0012185748327926266,8.94736842105263e-05,0.0003341651763220232,9.250000000000001e-05,0.00034755969083521087,0.06541666666666666,0.01706882376018084,0.03196177209671222,0.09887156123662111,0.0,0.07,0.2,0.07,2.0
hedl,bh_marginal,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,5.0
hedl,bh_marginal,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.0
hedl,bh_marginal,0.01,0.2,0.095,0.47656117420937577,0.01,0.09974842727441166,0.085,0.4226917809805896,0.03666666666666667,0.18239060189135695,0.0005,0.004987421363720582,4.2929292929292925e-05,0.00021348069746494422,4.750000000000001e-05,0.00023828058710468792,0.03666666666666667,0.012896963142207443,0.01138861890794008,0.06194471442539325,0.0,0.04,0.2,0.04,2.0
hedl,bh_marginal,0.001,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,5.0
hedl,bh_marginal,0.001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.0
hedl,bh_marginal,0.001,0.2,0.11,0.5188894209326096,0.0,0.0,0.11,0.5188894209326096,0.045,0.20782433633689143,0.0,0.0,5.505505505505505e-05,0.00025970441488118597,5.4999999999999995e-05,0.00025944471046630477,0.045,0.014695399751940974,0.01619701648619569,0.07380298351380431,0.0,0.045,0.2,0.045,2.0
hedl,by_marginal,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,39.0
hedl,by_marginal,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,20.0
hedl,by_marginal,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,10.0
hedl,by_marginal,0.25,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,39.0
hedl,by_marginal,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,20.0
hedl,by_marginal,0.25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,10.0
hedl,by_marginal,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,39.0
hedl,by_marginal,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,20.0
hedl,by_marginal,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,10.0
hedl,by_marginal,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,39.0
hedl,by_marginal,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,20.0
hedl,by_marginal,0.05,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,10.0
hedl,by_marginal,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,39.0
hedl,by_marginal,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,20.0
hedl,by_marginal,0.01,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,10.0
hedl,by_marginal,0.001,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,39.0
hedl,by_marginal,0.001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,20.0
hedl,by_marginal,0.001,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,10.0
hedl,bh_mondrian,0.5,0.05,669.735,19.32906720967103,654.87,18.852591360474165,14.865,3.6294129264875297,0.02217821036538862,0.005315835816787737,0.65487,0.01885259136047417,0.014865000000000001,0.0036294129264875293,0.3348675,0.009664533604835514,0.02217821036538862,0.00037588635537249383,0.021441473108858532,0.022914947621918706,0.028341494571002768,1.0,0.05,0.0,5.0
hedl,bh_mondrian,0.5,0.1,786.78,14.681941185855658,747.185,13.518674037741032,39.595,6.208356744528835,0.05028536661018947,0.007564746305408332,0.7471850000000001,0.013518674037741046,0.039595,0.006208356744528834,0.3933900000000001,0.00734097059292783,0.05028536661018947,0.0005349083410510113,0.04923694626172949,0.05133378695864946,0.06011771263689422,1.0,0.1,0.0,3.0
