method,policy,prevalence,q_or_far,mean_alerts,std_alerts,mean_true_discoveries,std_true_discoveries,mean_false_discoveries,std_false_discoveries,mean_false_discovery_proportion,std_false_discovery_proportion,mean_power,std_power,mean_false_alarm_rate,std_false_alarm_rate,mean_alert_rate,std_alert_rate,empirical_fdr,empirical_fdr_se,empirical_fdr_ci95_low,empirical_fdr_ci95_high,fdp_p90,probability_any_alert,nominal_q,fraction_fdp_above_q,minimum_bh_rejections_at_pmin
hedl,bh_marginal,0.5,0.05,365.765,17.341957572959046,358.855,16.6272759805286,6.91,2.5758640058986852,0.018822006983864194,0.006733136195518082,0.358855,0.0166272759805286,0.00691,0.0025758640058986854,0.1828825,0.008670978786479523,0.018822006983864194,0.0004761046262503427,0.01788884191641352,0.019755172051314867,0.02725947917090298,1.0,0.05,0.0,5.0
hedl,bh_marginal,0.5,0.1,955.935,13.545040257521919,916.315,10.915195024004852,39.62,5.893152486670931,0.041400487951968545,0.005813567923511194,0.916315,0.010915195024004858,0.039619999999999995,0.005893152486670931,0.47796750000000005,0.006772520128760957,0.041400487951968545,0.0004110813301603361,0.04059476854485429,0.0422062073590828,0.048373890419344964,1.0,0.1,0.0,3.0
hedl,bh_marginal,0.5,0.2,1101.415,9.793484399508538,1000.0,0.0,101.415,9.793484399508536,0.09200575008004969,0.008055052397872851,1.0,0.0,0.101415,0.009793484399508537,0.5507075,0.004896742199754269,0.09200575008004969,0.0005695782173348853,0.09088937677407331,0.09312212338602606,0.10233393177737882,1.0,0.2,0.0,2.0
hedl,bh_marginal,0.25,0.05,151.365,14.105908630480254,146.9,13.493344720964998,4.465,2.0761326145421997,0.029284647066226993,0.012972696827025135,0.2938,0.026986689441929994,0.002976666666666667,0.0013840884096948,0.0756825,0.007052954315240126,0.029284647066226993,0.0009173081896666681,0.027486723014480324,0.031082571117973662,0.04522342064714946,1.0,0.05,0.045,5.0
hedl,bh_marginal,0.25,0.1,193.0,15.458487122632764,181.725,13.997105766880745,11.275,3.5556417057541796,0.05804449519817768,0.016328262451539483,0.36345,0.02799421153376149,0.007516666666666666,0.0023704278038361197,0.09649999999999999,0.007729243561316383,0.05804449519817768,0.0011545825104477248,0.055781513477700134,0.06030747691865522,0.08095238095238096,1.0,0.1,0.01,3.0
hedl,bh_marginal,0.25,0.2,535.51,13.593151542016335,469.03,7.028234515296857,66.48,8.779807806873004,0.12385284356718457,0.013695868498555263,0.9380600000000001,0.014056469030593682,0.04432,0.005853205204582003,0.267755,0.006796575771008173,0.12385284356718457,0.0009684441489567645,0.12195469303522931,0.1257509940991398,0.14236701992799553,1.0,0.2,0.0,2.0
hedl,bh_marginal,0.1,0.05,31.21,24.853862322822362,29.63,23.554344305847103,1.58,1.6994234907771004,0.030783946517030602,0.03220726895647765,0.14815,0.11777172152923553,0.0008777777777777779,0.0009441241615428335,0.015604999999999997,0.012426931161411182,0.030783946517030602,0.0022773978282624326,0.026320246773636233,0.03524764626042497,0.08,0.62,0.05,0.275,5.0
hedl,bh_marginal,0.1,0.1,62.44,8.04300001530717,57.395,7.184501395469802,5.045,2.215290627167025,0.07972291491412198,0.032476882822572044,0.28697500000000004,0.035922506977349014,0.0028027777777777777,0.0012307170150927915,0.031220000000000005,0.004021500007653586,0.07972291491412198,0.0022964624075641595,0.07522184859529622,0.08422398123294773,0.125,1.0,0.1,0.275,3.0
hedl,bh_marginal,0.1,0.2,81.915,11.931453091066555,70.495,8.722982697201592,11.42,4.655315220153731,0.13581681864781311,0.04261156435562921,0.35247500000000004,0.04361491348600797,0.006344444444444443,0.0025862862334187393,0.0409575,0.005965726545533277,0.13581681864781311,0.003013092611283239,0.12991115712969797,0.14172248016592826,0.19060665362035223,1.0,0.2,0.055,2.0
hedl,bh_marginal,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,5.0
hedl,bh_marginal,0.05,0.1,20.54,13.56126615395821,18.44,12.170745054263499,2.1,1.9413511328725486,0.07303598344270741,0.06418039777492372,0.18439999999999998,0.12170745054263497,0.001105263157894737,0.0010217637541434467,0.010270000000000001,0.006780633076979104,0.07303598344270741,0.004538239448589857,0.06414103412347129,0.08193093276194353,0.156625,0.72,0.1,0.36,3.0
hedl,bh_marginal,0.05,0.2,35.235,6.675521548141276,29.8,5.844724460579857,5.435,2.3330216350794397,0.1531755507960887,0.0573767393325539,0.298,0.058447244605798566,0.002860526315789474,0.0012279061237260211,0.017617499999999998,0.0033377607740706374,0.1531755507960887,0.004057148146442176,0.14522354042906202,0.16112756116311536,0.22740259740259738,1.0,0.2,0.21,2.0
hedl,bh_marginal,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,5.0
hedl,bh_marginal,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.0
hedl,bh_marginal,0.01,0.2,0.56,2.507556419301448,0.32,1.4380332744733215,0.24,1.1174270517937186,0.022055444555444555,0.09852541260194646,0.016,0.07190166372366606,0.00012121212121212122,0.0005643570968655144,0.00028000000000000003,0.001253778209650724,0.022055444555444555,0.0069667987370038865,0.008400519030916938,0.03571037007997217,0.0,0.055,0.2,0.05,2.0
hedl,bh_marginal,0.001,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,5.0
hedl,bh_marginal,0.001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.0
hedl,bh_marginal,0.001,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.0
hedl,by_marginal,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,39.0
hedl,by_marginal,0.5,0.1,229.725,16.885049585283646,228.235,16.908556158252658,1.49,1.120794764674877,0.006516858082145005,0.004973043332931384,0.22823500000000002,0.01690855615825266,0.0014900000000000002,0.001120794764674877,0.1148625,0.008442524792641824,0.006516858082145005,0.0003516472663850331,0.00582762944003034,0.007206086724259669,0.013761467889908258,1.0,0.1,0.0,20.0
hedl,by_marginal,0.5,0.2,293.855,16.711082441957778,290.915,16.4676559797482,2.94,1.720815513107304,0.009975472136905649,0.005782391893401475,0.290915,0.016467655979748197,0.0029400000000000003,0.001720815513107304,0.1469275,0.008355541220978887,0.009975472136905649,0.00040887685193023027,0.009174073507122397,0.0107768707666889,0.01740435943060498,1.0,0.2,0.0,10.0
hedl,by_marginal,0.25,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,39.0
hedl,by_marginal,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,20.0
hedl,by_marginal,0.25,0.2,115.075,17.012835089688746,113.0,16.615969795991642,2.075,1.4765758977816033,0.017654122742039268,0.012251983326613302,0.226,0.033231939591983284,0.0013833333333333336,0.0009843839318544024,0.0575375,0.008506417544844375,0.017654122742039268,0.000866346049323278,0.015956084485365642,0.019352160998712894,0.03308539944903581,0.99,0.2,0.0,10.0
hedl,by_marginal,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,39.0
hedl,by_marginal,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,20.0
hedl,by_marginal,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,10.0
hedl,by_marginal,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,39.0
hedl,by_marginal,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,20.0
hedl,by_marginal,0.05,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,10.0
hedl,by_marginal,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,39.0
hedl,by_marginal,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,20.0
hedl,by_marginal,0.01,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,10.0
hedl,by_marginal,0.001,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,39.0
hedl,by_marginal,0.001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,20.0
hedl,by_marginal,0.001,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,10.0
hedl,bh_mondrian,0.5,0.05,774.94,13.17247014987114,757.875,12.590950527099986,17.065,4.10916062049479,0.022000991171501255,0.005211716092154136,0.7578750000000001,0.012590950527099997,0.017065,0.00410916062049479,0.38747,0.006586235074935575,0.022000991171501255,0.0003685239790381243,0.02127868417258653,0.02272329817041598,0.027778180406784137,1.0,0.05,0.0,5.0
hedl,bh_mondrian,0.5,0.1,804.105,14.353889567940922,763.615,12.769576556297224,40.49,6.241367908306173,0.05030677811443771,0.007399744450401422,0.763615,0.012769576556297235,0.04049,0.006241367908306173,0.4020525000000001,0.0071769447839704495,0.05030677811443771,0.0005232409479926368,0.049281225856372145,0.05133233037250328,0.059919489826831214,1.0,0.1,0.0,3.0
hedl,bh_mondrian,0.5,0.2,1063.54,14.138169584354968,952.145,7.46340990681779,111.395,10.947061972472145,0.104641728426428,0.009137798404495759,0.9521449999999999,0.007463409906817791,0.111395,0.010947061972472145,0.53177,0.00706908479217749,0.104641728426428,0.0006461399216934566,0.10337529417990882,0.10590816267294717,0.11625127983123407,1.0,0.2,0.0,2.0
hedl,bh_mondrian,0.25,0.05,371.505,10.083070791327142,361.985,9.619117010427804,9.52,2.9721656824983875,0.0255793916086025,0.007782935629213302,0.7239699999999999,0.019238234020855616,0.006346666666666666,0.0019814437883322582,0.18575249999999996,0.005041535395663576,0.0255793916086025,0.0005503366560955115,0.024500731762655298,0.026658051454549705,0.036011080332409975,1.0,0.05,0.0,5.0
hedl,bh_mondrian,0.25,0.1,406.565,11.227021199994486,379.605,9.161804862673542,26.96,5.162524410737182,0.0661539105495609,0.011735501436297844,0.7592099999999999,0.018323609725347096,0.017973333333333334,0.003441682940491455,0.2032825,0.005613510599997236,0.0661539105495609,0.0008298252646230673,0.06452745303089968,0.0677803680682221,0.08252250608272506,1.0,0.1,0.0,3.0
hedl,bh_mondrian,0.25,0.2,460.19,23.05562205933107,389.575,16.163249306395773,70.615,9.898315932089522,0.1529739247766792,0.015822117003507566,0.7791499999999999,0.03232649861279154,0.04707666666666666,0.0065988772880596815,0.23009500000000002,0.011527811029665535,0.1529739247766792,0.0011187926225907177,0.1507810912364014,0.155166758316957,0.17611311564134946,1.0,0.2,0.0,2.0
hedl,bh_mondrian,0.1,0.05,38.94,21.517233948254585,37.805,20.664512707226745,1.135,1.2668066130924935,0.024808856229582427,0.024846225787295534,0.18902499999999997,0.10332256353613373,0.0006305555555555556,0.000703781451718052,0.019470000000000005,0.010758616974127293,0.024808856229582427,0.0017568934741088737,0.021365345020329034,0.02825236743883582,0.05805626598465473,0.94,0.05,0.165,5.0
hedl,bh_mondrian,0.1,0.1,152.695,8.616448859871094,142.57,7.133691031905816,10.125,3.3248531157339913,0.06577762636452959,0.019822036776898262,0.7128500000000001,0.03566845515952908,0.005625,0.0018471406198522175,0.0763475,0.004308224429935548,0.06577762636452959,0.0014016296621873897,0.06303043222664231,0.06852482050241687,0.09036144578313253,1.0,0.1,0.05,3.0
hedl,bh_mondrian,0.1,0.2,177.685,12.157913030048832,149.815,7.852328976282055,27.87,6.382537420148665,0.15555256278727447,0.02795059972893317,0.7490749999999999,0.03926164488141029,0.015483333333333333,0.003545854122304815,0.08884249999999999,0.006078956515024415,0.15555256278727447,0.001976405860655952,0.1516788073003888,0.15942631827416015,0.19596951085764422,1.0,0.2,0.06,2.0
hedl,bh_mondrian,0.05,0.05,0.86,4.537991497807246,0.81,4.277309538065033,0.05,0.3130334642633974,0.002030745341614907,0.012740652444341466,0.0081,0.042773095380650335,2.631578947368421e-05,0.00016475445487547233,0.00043,0.0022689957489036234,0.002030745341614907,0.0009009001740134813,0.00026498100054848364,0.0037965096826813303,0.0,0.035,0.05,0.015,5.0
hedl,bh_mondrian,0.05,0.1,23.21,14.267575778420271,21.705,13.255433132783269,1.505,1.5498338377462002,0.05417877911610036,0.04917039285807398,0.21705,0.13255433132783268,0.0007921052631578947,0.0008157020198664212,0.011604999999999999,0.007133787889210137,0.05417877911610036,0.0034768718223550698,0.04736411034428442,0.0609934478879163,0.125,0.88,0.1,0.175,3.0
hedl,bh_mondrian,0.05,0.2,83.015,5.93048296015624,71.96,4.5021937701212495,11.055,3.461485869119005,0.13192474198037168,0.03537187391222815,0.7195999999999999,0.0450219377012125,0.0058184210526315795,0.001821834667957371,0.041507499999999996,0.0029652414800781196,0.13192474198037168,0.002501169190661206,0.12702245036667573,0.13682703359406764,0.17065047021943572,1.0,0.2,0.035,2.0
hedl,bh_mondrian,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,5.0
hedl,bh_mondrian,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.0
hedl,bh_mondrian,0.01,0.2,1.03,2.5811648649982644,0.8,2.0422669441962733,0.23,0.7209011669170133,0.032091991341991345,0.09876982255802266,0.04,0.10211334720981366,0.00011616161616161617,0.000364091498442936,0.000515,0.0012905824324991322,0.032091991341991345,0.006984081130736985,0.018403192325746855,0.04578079035823583,0.14285714285714285,0.145,0.2,0.07,2.0
