method,policy,prevalence,q_or_far,mean_alerts,std_alerts,mean_true_discoveries,std_true_discoveries,mean_false_discoveries,std_false_discoveries,mean_false_discovery_proportion,std_false_discovery_proportion,mean_power,std_power,mean_false_alarm_rate,std_false_alarm_rate,mean_alert_rate,std_alert_rate,empirical_fdr,empirical_fdr_se,empirical_fdr_ci95_low,empirical_fdr_ci95_high,fdp_p90,probability_any_alert,nominal_q,fraction_fdp_above_q,minimum_bh_rejections_at_pmin
hedl,bh,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,5.0
hedl,bh,0.5,0.1,1084.49,9.461368158843937,1000.0,0.0,84.49,9.461368158843937,0.07783789891980121,0.008028582924612601,1.0,0.0,0.08448999999999998,0.009461368158843938,0.542245,0.004730684079421974,0.07783789891980121,0.0005677065429312094,0.07672519409565604,0.07895060374394638,0.08925318761384335,1.0,0.1,0.0,3.0
hedl,bh,0.5,0.2,1165.065,12.918794497021825,1000.0,0.0,165.065,12.918794497021825,0.14157389277968677,0.009508525896429323,1.0,0.0,0.165065,0.012918794497021826,0.5825324999999999,0.006459397248510917,0.14157389277968677,0.000672354314045307,0.14025607832415796,0.14289170723521558,0.15397631133671744,1.0,0.2,0.0,2.0
hedl,bh,0.25,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,5.0
hedl,bh,0.25,0.1,1.185,2.801789629081409,0.255,0.7366739049342357,0.93,2.1883887282954677,0.13825559163059162,0.31205729983042396,0.00051,0.0014733478098684714,0.0006200000000000001,0.001458925818863645,0.0005924999999999999,0.0014008948145407046,0.13825559163059162,0.022065783282885644,0.09500665639613576,0.18150452686504748,0.75,0.17,0.1,0.17,3.0
hedl,bh,0.25,0.2,653.84,16.48829034778818,500.0,0.0,153.84,16.48829034778818,0.2348016068459782,0.019354645532657484,1.0,0.0,0.10256,0.01099219356519212,0.32692,0.008244145173894093,0.2348016068459782,0.0013685801103604026,0.2321191898296718,0.2374840238622846,0.258160237388724,1.0,0.2,0.97,2.0
hedl,bh,0.1,0.05,0.05,0.49874213637205833,0.0,0.0,0.05,0.49874213637205833,0.01,0.09974842727441166,0.0,0.0,2.777777777777778e-05,0.00027707896465114357,2.5e-05,0.00024937106818602916,0.01,0.007053278933842965,0.0,0.023824426710332212,0.0,0.01,0.05,0.01,5.0
hedl,bh,0.1,0.1,1.045,2.44188225447576,0.08,0.35245014615919545,0.965,2.222266261428503,0.17513492063492067,0.37048670103203335,0.0004,0.0017622507307959768,0.0005361111111111111,0.0012345923674602797,0.0005225000000000001,0.0012209411272378799,0.17513492063492067,0.026197365863918385,0.12378808354164064,0.2264817577282007,1.0,0.185,0.1,0.185,3.0
hedl,bh,0.1,0.2,3.905,3.2540620150805286,0.515,0.7567286111643815,3.39,2.8209375112205257,0.6233843795093795,0.4137678632672352,0.002575,0.003783643055821908,0.0018833333333333334,0.0015671875062336256,0.0019525,0.0016270310075402643,0.6233843795093795,0.029257806195333018,0.5660390793665269,0.6807296796522322,1.0,0.71,0.2,0.71,2.0
hedl,bh,0.05,0.05,0.025,0.3535533905932737,0.0,0.0,0.025,0.3535533905932737,0.005,0.07071067811865477,0.0,0.0,1.3157894736842104e-05,0.0001860807318911967,1.25e-05,0.00017677669529663688,0.005,0.005000000000000001,0.0,0.0148,0.0,0.005,0.05,0.005,5.0
