rq,case,metric,proposed,best_baseline,baseline_value,outcome
rq1,loao/cicids2017/Z1/seed_13,known_accuracy,0.9541929229277751,ori,0.9766521247374373,loss
rq1,loao/cicids2017/Z1/seed_13,known_macro_f1,0.844947321877306,ori,0.8930285930385228,loss
rq1,loao/cicids2017/Z1/seed_13,known_weighted_f1,0.9522045333845798,ori,0.976642623627866,loss
rq1,loao/cicids2017/Z1/seed_13,delta_f1,-0.01647640857443533,ori,0.03160486258678141,loss
rq1,loao/cicids2017/Z1/seed_13,unknown_auroc,0.9590964782957074,ori,0.9728358805558095,loss
rq1,loao/cicids2017/Z1/seed_13,fpr95,0.12974632412344483,ori,0.1986589109710777,win
rq1,loao/cicids2017/Z1/seed_13,aupr_out,0.9044046173865151,ori,0.954965441289068,loss
rq1,loao/cicids2017/Z1/seed_13,oscr,0.9209600049672948,ori,0.9514448739455681,loss
rq1,loao/cicids2017/Z1/seed_13,open_world_macro_f1,0.739355452725956,ori,0.7958466828618344,loss
rq1,loao/cicids2017/Z1/seed_13,unknown_f1,0.4099034312718307,ori,0.612072072072072,loss
rq2,cross_domain/leave_one_environment_out/nf_unsw_nb15_v3/seed_13,unknown_auroc,0.5286582890625,closr,0.5414149453125,loss
rq2,cross_domain/leave_one_environment_out/nf_unsw_nb15_v3/seed_13,fpr95,0.8953125,cd_zd_srl,0.8823125,loss
rq2,cross_domain/leave_one_environment_out/nf_unsw_nb15_v3/seed_13,aupr_out,0.20399880024178768,closr,0.22880465533469527,loss
rq2,cross_domain/leave_one_environment_out/nf_unsw_nb15_v3/seed_13,oscr,0.076221921875,renoir_dml,0.0795064140625,loss
rq2,cross_domain/leave_one_environment_out/nf_unsw_nb15_v3/seed_13,open_world_macro_f1,0.026164175673838996,cd_zd_srl,0.033001433582236714,loss
rq2,cross_domain/source_target/nf_unsw_nb15_v3_to_nf_ton_iot_v3/seed_13,unknown_auroc,0.41725472666666663,efc,0.6696802733333334,loss
rq2,cross_domain/source_target/nf_unsw_nb15_v3_to_nf_ton_iot_v3/seed_13,fpr95,0.9708,cd_zd_srl,0.8431333333333333,loss
rq2,cross_domain/source_target/nf_unsw_nb15_v3_to_nf_ton_iot_v3/seed_13,aupr_out,0.2096828094863515,efc,0.5739728974757985,loss
rq2,cross_domain/source_target/nf_unsw_nb15_v3_to_nf_ton_iot_v3/seed_13,oscr,0.11007433333333333,foss,0.21534296,loss
rq2,cross_domain/source_target/nf_unsw_nb15_v3_to_nf_ton_iot_v3/seed_13,open_world_macro_f1,0.10440076214847173,foss,0.21620498334461413,loss
rq2,difficulty/near_far/far/cicids2017/Z2/seed_13,unknown_auroc,0.9143677501502023,closr,0.9663871697244917,loss
rq2,difficulty/near_far/far/cicids2017/Z2/seed_13,fpr95,0.18276402381698528,renoir_dml,0.05847696646819179,loss
rq2,difficulty/near_far/far/cicids2017/Z2/seed_13,aupr_out,0.5908583111256713,closr,0.8083471984791472,loss
rq2,difficulty/near_far/far/cicids2017/Z2/seed_13,oscr,0.8828269557574435,closr,0.9157343099159836,loss
rq2,difficulty/near_far/far/cicids2017/Z2/seed_13,open_world_macro_f1,0.699193104661135,closr,0.7856642537010248,loss
rq2,difficulty/near_far/near/cicids2017/Z1/seed_13,unknown_auroc,0.961795234848193,renoir_dml,0.9339786014996261,win
rq2,difficulty/near_far/near/cicids2017/Z1/seed_13,fpr95,0.09533042494748747,cd_zd_srl,0.18993375343351107,win
rq2,difficulty/near_far/near/cicids2017/Z1/seed_13,aupr_out,0.9176316083960047,foss,0.8922758243696437,win
rq2,difficulty/near_far/near/cicids2017/Z1/seed_13,oscr,0.9231667699682514,cd_zd_srl,0.9069789473786857,win
rq2,difficulty/near_far/near/cicids2017/Z1/seed_13,open_world_macro_f1,0.7487736016469705,foss,0.8357189236321041,loss
rq2,difficulty/openness/cicids2017/O1/seed_13,unknown_auroc,0.961795234848193,renoir_dml,0.9339786014996261,win
rq2,difficulty/openness/cicids2017/O1/seed_13,fpr95,0.09533042494748747,cd_zd_srl,0.18993375343351107,win
rq2,difficulty/openness/cicids2017/O1/seed_13,aupr_out,0.9176316083960047,foss,0.8922749337368874,win
rq2,difficulty/openness/cicids2017/O1/seed_13,oscr,0.9231667699682514,cd_zd_srl,0.9069789473786857,win
rq2,difficulty/openness/cicids2017/O1/seed_13,open_world_macro_f1,0.7487736016469705,foss,0.8357189236321041,loss
rq3,prevalence/ciciomt2024/Z1/seed_13,aupr_out,0.030874828673647492,efc,0.17274874168373958,loss
rq3,prevalence/ciciomt2024/Z1/seed_13,unknown_precision,0.002793296089385475,efc,0.019867549668874173,loss
rq3,prevalence/ciciomt2024/Z1/seed_13,unknown_recall,0.0009000900090009,efc,0.0027002700270027003,loss
rq3,prevalence/ciciomt2024/Z1/seed_13,unknown_f1,0.0013614703880190605,efc,0.004754358161648178,loss
rq3,prevalence/ciciomt2024/Z1/seed_13,tpr_at_5_fpr,0.0027002700270027003,usfad,0.012601260126012601,loss
rq3,prevalence/ciciomt2024/Z1/seed_13,tpr_at_1_fpr,0.0009000900090009,efc,0.0027002700270027003,loss
rq3,prevalence/ciciomt2024/Z1/seed_13,tpr_at_0_1_fpr,0.0,ais_nids,0.0,tie
rq3,prevalence/ciciomt2024/Z1/seed_13,latency_ms_per_flow,0.16454451999998126,closr,0.006509379999988596,loss
rq3,prevalence/ciciomt2024/Z1/seed_13,throughput_fps,6077.382583145971,closr,153624.46193059123,loss
rq3,prevalence/ciciomt2024/Z1/seed_13,parameters,4404.0,efc,0.0,loss
