rq,case,metric,proposed,best_baseline,baseline_value,outcome
rq1,loao/cicids2017/Z1/seed_13,known_accuracy,0.9851349167878494,ori,0.9766521247374373,win
rq1,loao/cicids2017/Z1/seed_13,known_macro_f1,0.8965015161286378,ori,0.8930285930385228,win
rq1,loao/cicids2017/Z1/seed_13,known_weighted_f1,0.9837774308247814,ori,0.976642623627866,win
rq1,loao/cicids2017/Z1/seed_13,delta_f1,0.035077785676896456,ori,0.03160486258678141,win
rq1,loao/cicids2017/Z1/seed_13,unknown_auroc,0.9948423774262994,ori,0.9728351385990134,win
rq1,loao/cicids2017/Z1/seed_13,fpr95,0.016561641622232993,ori,0.1986589109710777,win
rq1,loao/cicids2017/Z1/seed_13,aupr_out,0.9851482125083191,ori,0.9549647143830902,win
rq1,loao/cicids2017/Z1/seed_13,oscr,0.9814831273300888,ori,0.9514441637869204,win
rq1,loao/cicids2017/Z1/seed_13,open_world_macro_f1,0.8305266575823423,ori,0.7958466828618344,win
rq1,loao/cicids2017/Z1/seed_13,unknown_f1,0.8485616336264719,ori,0.612072072072072,win
rq2,cross_domain/leave_one_environment_out/nf_unsw_nb15_v3/seed_13,unknown_auroc,0.5516275234375,closr,0.5414149453125,win
rq2,cross_domain/leave_one_environment_out/nf_unsw_nb15_v3/seed_13,fpr95,0.9261875,cd_zd_srl,0.8823125,loss
rq2,cross_domain/leave_one_environment_out/nf_unsw_nb15_v3/seed_13,aupr_out,0.22152244431528872,closr,0.22880465533469527,loss
rq2,cross_domain/leave_one_environment_out/nf_unsw_nb15_v3/seed_13,oscr,0.07545545312499999,renoir_dml,0.0795064140625,loss
rq2,cross_domain/leave_one_environment_out/nf_unsw_nb15_v3/seed_13,open_world_macro_f1,0.053346008592922184,cd_zd_srl,0.033001433582236714,win
rq2,cross_domain/source_target/nf_unsw_nb15_v3_to_nf_ton_iot_v3/seed_13,unknown_auroc,0.46149791333333334,efc,0.6696802733333334,loss
rq2,cross_domain/source_target/nf_unsw_nb15_v3_to_nf_ton_iot_v3/seed_13,fpr95,0.9166,cd_zd_srl,0.8431333333333333,loss
rq2,cross_domain/source_target/nf_unsw_nb15_v3_to_nf_ton_iot_v3/seed_13,aupr_out,0.2376072607389064,efc,0.5739728974757985,loss
rq2,cross_domain/source_target/nf_unsw_nb15_v3_to_nf_ton_iot_v3/seed_13,oscr,0.08254154666666667,foss,0.21534294666666667,loss
rq2,cross_domain/source_target/nf_unsw_nb15_v3_to_nf_ton_iot_v3/seed_13,open_world_macro_f1,0.06060845212000345,foss,0.21620498334461413,loss
rq2,difficulty/near_far/far/cicids2017/Z2/seed_13,unknown_auroc,0.9883667406670259,closr,0.9663871697244917,win
rq2,difficulty/near_far/far/cicids2017/Z2/seed_13,fpr95,0.015794421811344408,renoir_dml,0.05847696646819179,win
rq2,difficulty/near_far/far/cicids2017/Z2/seed_13,aupr_out,0.8709846655279263,closr,0.8083471984791472,win
rq2,difficulty/near_far/far/cicids2017/Z2/seed_13,oscr,0.9778125049631631,closr,0.9157343099159836,win
rq2,difficulty/near_far/far/cicids2017/Z2/seed_13,open_world_macro_f1,0.7606826038746789,closr,0.7856642537010248,loss
rq2,difficulty/near_far/near/cicids2017/Z1/seed_13,unknown_auroc,0.9959537386121822,renoir_dml,0.9339786014996261,win
rq2,difficulty/near_far/near/cicids2017/Z1/seed_13,fpr95,0.012603005332040717,cd_zd_srl,0.18993375343351107,win
rq2,difficulty/near_far/near/cicids2017/Z1/seed_13,aupr_out,0.9890386001045586,foss,0.8922742357441078,win
rq2,difficulty/near_far/near/cicids2017/Z1/seed_13,oscr,0.9821787595237044,cd_zd_srl,0.9069789473786857,win
rq2,difficulty/near_far/near/cicids2017/Z1/seed_13,open_world_macro_f1,0.8499393586904338,foss,0.8357189236321041,win
rq2,difficulty/openness/cicids2017/O1/seed_13,unknown_auroc,0.9959537386121822,renoir_dml,0.9339786014996261,win
rq2,difficulty/openness/cicids2017/O1/seed_13,fpr95,0.012603005332040717,cd_zd_srl,0.18993375343351107,win
rq2,difficulty/openness/cicids2017/O1/seed_13,aupr_out,0.9890386001045586,foss,0.8922744506923601,win
rq2,difficulty/openness/cicids2017/O1/seed_13,oscr,0.9821787595237044,cd_zd_srl,0.9069789473786857,win
rq2,difficulty/openness/cicids2017/O1/seed_13,open_world_macro_f1,0.8499393586904338,foss,0.8357189236321041,win
rq3,prevalence/ciciomt2024/Z1/seed_13,aupr_out,0.9957789588381128,efc,0.17274874168373958,win
rq3,prevalence/ciciomt2024/Z1/seed_13,unknown_precision,0.7958452722063037,efc,0.019867549668874173,win
rq3,prevalence/ciciomt2024/Z1/seed_13,unknown_recall,1.0,efc,0.0027002700270027003,win
rq3,prevalence/ciciomt2024/Z1/seed_13,unknown_f1,0.8863183087355405,efc,0.004754358161648178,win
rq3,prevalence/ciciomt2024/Z1/seed_13,tpr_at_5_fpr,1.0,usfad,0.012601260126012601,win
rq3,prevalence/ciciomt2024/Z1/seed_13,tpr_at_1_fpr,1.0,efc,0.0027002700270027003,win
rq3,prevalence/ciciomt2024/Z1/seed_13,tpr_at_0_1_fpr,0.9873987398739874,ais_nids,0.0,win
rq3,prevalence/ciciomt2024/Z1/seed_13,latency_ms_per_flow,0.04157786499999929,closr,0.006029814999965311,loss
rq3,prevalence/ciciomt2024/Z1/seed_13,throughput_fps,24051.25900524274,closr,165842.56731023308,loss
rq3,prevalence/ciciomt2024/Z1/seed_13,parameters,24564.0,efc,0.0,loss
