rq,case,metric,proposed,best_baseline,baseline_value,outcome
rq1,loao/cicids2017/Z1/seed_13,known_accuracy,0.9851349167878494,ori,0.9766521247374373,win
rq1,loao/cicids2017/Z1/seed_13,known_macro_f1,0.8965015161286378,ori,0.8930285930385228,win
rq1,loao/cicids2017/Z1/seed_13,known_weighted_f1,0.9837774308247814,ori,0.976642623627866,win
rq1,loao/cicids2017/Z1/seed_13,delta_f1,0.035077785676896456,ori,0.03160486258678141,win
rq1,loao/cicids2017/Z1/seed_13,unknown_auroc,0.9948423774262994,ori,0.9728351385990134,win
rq1,loao/cicids2017/Z1/seed_13,fpr95,0.016561641622232993,ori,0.1986589109710777,win
rq1,loao/cicids2017/Z1/seed_13,aupr_out,0.9851482125083191,ori,0.9549647143830902,win
rq1,loao/cicids2017/Z1/seed_13,oscr,0.9814831273300888,ori,0.9514441637869204,win
rq1,loao/cicids2017/Z1/seed_13,open_world_macro_f1,0.8305266575823423,ori,0.7958466828618344,win
rq1,loao/cicids2017/Z1/seed_13,unknown_f1,0.8485616336264719,ori,0.612072072072072,win
rq2,cross_domain/leave_one_environment_out/nf_unsw_nb15_v3/seed_13,unknown_auroc,0.535283234375,closr,0.5414149453125,loss
rq2,cross_domain/leave_one_environment_out/nf_unsw_nb15_v3/seed_13,fpr95,0.9256875,cd_zd_srl,0.8823125,loss
rq2,cross_domain/leave_one_environment_out/nf_unsw_nb15_v3/seed_13,aupr_out,0.2205415995003172,closr,0.22880465533469527,loss
rq2,cross_domain/leave_one_environment_out/nf_unsw_nb15_v3/seed_13,oscr,0.059586375,renoir_dml,0.0795064140625,loss
rq2,cross_domain/leave_one_environment_out/nf_unsw_nb15_v3/seed_13,open_world_macro_f1,0.10720174412267718,cd_zd_srl,0.033001433582236714,win
rq2,cross_domain/source_target/nf_unsw_nb15_v3_to_nf_ton_iot_v3/seed_13,unknown_auroc,0.4991211666666666,efc,0.6696802733333334,loss
rq2,cross_domain/source_target/nf_unsw_nb15_v3_to_nf_ton_iot_v3/seed_13,fpr95,0.8446666666666667,cd_zd_srl,0.8431333333333333,loss
rq2,cross_domain/source_target/nf_unsw_nb15_v3_to_nf_ton_iot_v3/seed_13,aupr_out,0.24902503070298043,efc,0.5739728974757985,loss
rq2,cross_domain/source_target/nf_unsw_nb15_v3_to_nf_ton_iot_v3/seed_13,oscr,0.09721998,foss,0.21534296,loss
rq2,cross_domain/source_target/nf_unsw_nb15_v3_to_nf_ton_iot_v3/seed_13,open_world_macro_f1,0.10077122434010341,foss,0.21620498334461413,loss
rq2,difficulty/near_far/far/cicids2017/Z2/seed_13,unknown_auroc,0.9959502370503568,closr,0.9663871697244917,win
rq2,difficulty/near_far/far/cicids2017/Z2/seed_13,fpr95,0.004951425885302413,renoir_dml,0.05847696646819179,win
rq2,difficulty/near_far/far/cicids2017/Z2/seed_13,aupr_out,0.9429107420183274,closr,0.8083471984791472,win
rq2,difficulty/near_far/far/cicids2017/Z2/seed_13,oscr,0.9859727315584351,closr,0.9157343099159836,win
rq2,difficulty/near_far/far/cicids2017/Z2/seed_13,open_world_macro_f1,0.9002048852427914,closr,0.7856642537010248,win
rq2,difficulty/near_far/near/cicids2017/Z1/seed_13,unknown_auroc,0.9967087008510328,renoir_dml,0.9339786014996261,win
rq2,difficulty/near_far/near/cicids2017/Z1/seed_13,fpr95,0.009856196477621587,cd_zd_srl,0.18993375343351107,win
rq2,difficulty/near_far/near/cicids2017/Z1/seed_13,aupr_out,0.9914539812752595,foss,0.8922744736055984,win
rq2,difficulty/near_far/near/cicids2017/Z1/seed_13,oscr,0.9843853920323762,cd_zd_srl,0.9069789473786857,win
rq2,difficulty/near_far/near/cicids2017/Z1/seed_13,open_world_macro_f1,0.8870475758916703,foss,0.8357189236321041,win
rq2,difficulty/openness/cicids2017/O2/seed_13,unknown_auroc,0.987636149605911,cd_zd_srl,0.9432964816360305,win
rq2,difficulty/openness/cicids2017/O2/seed_13,fpr95,0.10448652337086319,cd_zd_srl,0.12623677925622653,win
rq2,difficulty/openness/cicids2017/O2/seed_13,aupr_out,0.979628565090411,cd_zd_srl,0.8834057420086955,win
rq2,difficulty/openness/cicids2017/O2/seed_13,oscr,0.9763243994835955,cd_zd_srl,0.9171604425551169,win
rq2,difficulty/openness/cicids2017/O2/seed_13,open_world_macro_f1,0.8535382623427913,foss,0.8100514736626635,win
rq3,prevalence/ciciomt2024/Z1/seed_13,aupr_out,0.8367299905934288,efc,0.17274874168373958,win
rq3,prevalence/ciciomt2024/Z1/seed_13,unknown_precision,0.8004322766570605,efc,0.019867549668874173,win
rq3,prevalence/ciciomt2024/Z1/seed_13,unknown_recall,1.0,efc,0.0027002700270027003,win
rq3,prevalence/ciciomt2024/Z1/seed_13,unknown_f1,0.8891556622649059,efc,0.004754358161648178,win
rq3,prevalence/ciciomt2024/Z1/seed_13,tpr_at_5_fpr,1.0,usfad,0.012601260126012601,win
rq3,prevalence/ciciomt2024/Z1/seed_13,tpr_at_1_fpr,0.9972997299729973,efc,0.0027002700270027003,win
rq3,prevalence/ciciomt2024/Z1/seed_13,tpr_at_0_1_fpr,0.0009000900090009,ais_nids,0.0,win
rq3,prevalence/ciciomt2024/Z1/seed_13,latency_ms_per_flow,0.0442330899999888,closr,0.006029814999965311,loss
rq3,prevalence/ciciomt2024/Z1/seed_13,throughput_fps,22607.509445988355,closr,165842.56731023308,loss
rq3,prevalence/ciciomt2024/Z1/seed_13,parameters,97252.0,efc,0.0,loss
