rq,metric,method,n_complete_cases,average_rank
rq1,aupr_out,hedl,1,1.0
rq1,aupr_out,closr,1,5.0
rq1,aupr_out,efc,1,4.0
rq1,aupr_out,renoir_dml,1,2.0
rq1,aupr_out,ori,1,3.0
rq1,aupr_out,docpp,1,6.0
rq1,closed_reference_macro_f1,hedl,1,3.5
rq1,closed_reference_macro_f1,closr,1,3.5
rq1,closed_reference_macro_f1,efc,1,3.5
rq1,closed_reference_macro_f1,renoir_dml,1,3.5
rq1,closed_reference_macro_f1,ori,1,3.5
rq1,closed_reference_macro_f1,docpp,1,3.5
rq1,delta_f1,hedl,1,5.0
rq1,delta_f1,closr,1,4.0
rq1,delta_f1,efc,1,2.0
rq1,delta_f1,renoir_dml,1,3.0
rq1,delta_f1,ori,1,1.0
rq1,delta_f1,docpp,1,6.0
rq1,far,hedl,1,6.0
rq1,far,closr,1,3.0
rq1,far,efc,1,1.0
rq1,far,renoir_dml,1,4.0
rq1,far,ori,1,2.0
rq1,far,docpp,1,5.0
rq1,fpr95,hedl,1,2.0
rq1,fpr95,closr,1,4.0
rq1,fpr95,efc,1,5.0
rq1,fpr95,renoir_dml,1,3.0
rq1,fpr95,ori,1,1.0
rq1,fpr95,docpp,1,6.0
rq1,frr,hedl,1,1.0
rq1,frr,closr,1,3.0
rq1,frr,efc,1,6.0
rq1,frr,renoir_dml,1,2.0
rq1,frr,ori,1,4.5
rq1,frr,docpp,1,4.5
rq1,known_accuracy,hedl,1,5.0
rq1,known_accuracy,closr,1,3.5
rq1,known_accuracy,efc,1,2.0
rq1,known_accuracy,renoir_dml,1,3.5
rq1,known_accuracy,ori,1,1.0
rq1,known_accuracy,docpp,1,6.0
rq1,known_macro_f1,hedl,1,5.0
rq1,known_macro_f1,closr,1,4.0
rq1,known_macro_f1,efc,1,2.0
rq1,known_macro_f1,renoir_dml,1,3.0
rq1,known_macro_f1,ori,1,1.0
rq1,known_macro_f1,docpp,1,6.0
rq1,known_weighted_f1,hedl,1,5.0
rq1,known_weighted_f1,closr,1,4.0
rq1,known_weighted_f1,efc,1,2.0
rq1,known_weighted_f1,renoir_dml,1,3.0
rq1,known_weighted_f1,ori,1,1.0
rq1,known_weighted_f1,docpp,1,6.0
rq1,open_world_macro_f1,hedl,1,5.0
rq1,open_world_macro_f1,closr,1,4.0
rq1,open_world_macro_f1,efc,1,2.0
rq1,open_world_macro_f1,renoir_dml,1,3.0
rq1,open_world_macro_f1,ori,1,1.0
rq1,open_world_macro_f1,docpp,1,6.0
rq1,oscr,hedl,1,5.0
rq1,oscr,closr,1,3.0
rq1,oscr,efc,1,4.0
rq1,oscr,renoir_dml,1,2.0
rq1,oscr,ori,1,1.0
rq1,oscr,docpp,1,6.0
rq1,tpr_at_0_1_fpr,hedl,1,4.5
rq1,tpr_at_0_1_fpr,closr,1,4.5
rq1,tpr_at_0_1_fpr,efc,1,4.5
rq1,tpr_at_0_1_fpr,renoir_dml,1,1.0
rq1,tpr_at_0_1_fpr,ori,1,4.5
rq1,tpr_at_0_1_fpr,docpp,1,2.0
rq1,tpr_at_1_fpr,hedl,1,4.5
rq1,tpr_at_1_fpr,closr,1,6.0
rq1,tpr_at_1_fpr,efc,1,2.0
rq1,tpr_at_1_fpr,renoir_dml,1,1.0
rq1,tpr_at_1_fpr,ori,1,4.5
rq1,tpr_at_1_fpr,docpp,1,3.0
rq1,tpr_at_5_fpr,hedl,1,1.0
rq1,tpr_at_5_fpr,closr,1,5.0
rq1,tpr_at_5_fpr,efc,1,4.0
rq1,tpr_at_5_fpr,renoir_dml,1,2.0
rq1,tpr_at_5_fpr,ori,1,3.0
rq1,tpr_at_5_fpr,docpp,1,6.0
rq1,unknown_auroc,hedl,1,2.0
rq1,unknown_auroc,closr,1,4.0
rq1,unknown_auroc,efc,1,5.0
rq1,unknown_auroc,renoir_dml,1,3.0
rq1,unknown_auroc,ori,1,1.0
rq1,unknown_auroc,docpp,1,6.0
rq1,unknown_f1,hedl,1,1.0
rq1,unknown_f1,closr,1,3.0
rq1,unknown_f1,efc,1,6.0
rq1,unknown_f1,renoir_dml,1,2.0
rq1,unknown_f1,ori,1,4.0
rq1,unknown_f1,docpp,1,5.0
rq1,unknown_precision,hedl,1,1.0
rq1,unknown_precision,closr,1,4.0
rq1,unknown_precision,efc,1,3.0
rq1,unknown_precision,renoir_dml,1,2.0
rq1,unknown_precision,ori,1,5.0
rq1,unknown_precision,docpp,1,6.0
rq1,unknown_recall,hedl,1,1.0
rq1,unknown_recall,closr,1,3.0
rq1,unknown_recall,efc,1,6.0
rq1,unknown_recall,renoir_dml,1,2.0
rq1,unknown_recall,ori,1,4.5
rq1,unknown_recall,docpp,1,4.5
