rq,track,method,metric,n,mean,std,ci95_low,ci95_high
rq1,baselines,closr,aupr_out,1,0.31758233907924904,0.0,0.31758233907924904,0.31758233907924904
rq1,baselines,closr,closed_reference_macro_f1,1,0.23862469656180327,0.0,0.23862469656180327,0.23862469656180327
rq1,baselines,closr,delta_f1,1,0.38929464364796873,0.0,0.38929464364796873,0.38929464364796873
rq1,baselines,closr,far,1,0.015384615384615385,0.0,0.015384615384615385,0.015384615384615385
rq1,baselines,closr,fpr95,1,0.567032967032967,0.0,0.567032967032967,0.567032967032967
rq1,baselines,closr,frr,1,0.8,0.0,0.8,0.8
rq1,baselines,closr,known_accuracy,1,0.6659340659340659,0.0,0.6659340659340659,0.6659340659340659
rq1,baselines,closr,known_macro_f1,1,0.627919340209772,0.0,0.627919340209772,0.627919340209772
rq1,baselines,closr,known_weighted_f1,1,0.6274292292358109,0.0,0.6274292292358109,0.6274292292358109
rq1,baselines,closr,open_world_macro_f1,1,0.5780633574595636,0.0,0.5780633574595636,0.5780633574595636
rq1,baselines,closr,oscr,1,0.5475457875457875,0.0,0.5475457875457875,0.5475457875457875
rq1,baselines,closr,tpr_at_0_1_fpr,1,0.0,0.0,0.0,0.0
rq1,baselines,closr,tpr_at_1_fpr,1,0.022222222222222223,0.0,0.022222222222222223,0.022222222222222223
rq1,baselines,closr,tpr_at_5_fpr,1,0.35555555555555557,0.0,0.35555555555555557,0.35555555555555557
rq1,baselines,closr,unknown_auroc,1,0.7776312576312576,0.0,0.7776312576312576,0.7776312576312576
rq1,baselines,closr,unknown_f1,1,0.29508196721311475,0.0,0.29508196721311475,0.29508196721311475
rq1,baselines,closr,unknown_precision,1,0.5625,0.0,0.5625,0.5625
rq1,baselines,closr,unknown_recall,1,0.2,0.0,0.2,0.2
rq1,baselines,docpp,aupr_out,1,0.12442909094265367,0.0,0.12442909094265367,0.12442909094265367
rq1,baselines,docpp,closed_reference_macro_f1,1,0.23862469656180327,0.0,0.23862469656180327,0.23862469656180327
rq1,baselines,docpp,delta_f1,1,-0.21362889558627915,0.0,-0.21362889558627915,-0.21362889558627915
rq1,baselines,docpp,far,1,0.02197802197802198,0.0,0.02197802197802198,0.02197802197802198
rq1,baselines,docpp,fpr95,1,0.8725274725274725,0.0,0.8725274725274725,0.8725274725274725
rq1,baselines,docpp,frr,1,0.9111111111111111,0.0,0.9111111111111111,0.9111111111111111
rq1,baselines,docpp,known_accuracy,1,0.0945054945054945,0.0,0.0945054945054945,0.0945054945054945
rq1,baselines,docpp,known_macro_f1,1,0.02499580097552412,0.0,0.02499580097552412,0.02499580097552412
rq1,baselines,docpp,known_weighted_f1,1,0.02518013789495281,0.0,0.02518013789495281,0.02518013789495281
rq1,baselines,docpp,open_world_macro_f1,1,0.03306791751294973,0.0,0.03306791751294973,0.03306791751294973
rq1,baselines,docpp,oscr,1,0.06446886446886446,0.0,0.06446886446886446,0.06446886446886446
rq1,baselines,docpp,tpr_at_0_1_fpr,1,0.022222222222222223,0.0,0.022222222222222223,0.022222222222222223
rq1,baselines,docpp,tpr_at_1_fpr,1,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667
rq1,baselines,docpp,tpr_at_5_fpr,1,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
rq1,baselines,docpp,unknown_auroc,1,0.30036630036630035,0.0,0.30036630036630035,0.30036630036630035
rq1,baselines,docpp,unknown_f1,1,0.13559322033898305,0.0,0.13559322033898305,0.13559322033898305
rq1,baselines,docpp,unknown_precision,1,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857
rq1,baselines,docpp,unknown_recall,1,0.08888888888888889,0.0,0.08888888888888889,0.08888888888888889
rq1,baselines,efc,aupr_out,1,0.3644565379074199,0.0,0.3644565379074199,0.3644565379074199
rq1,baselines,efc,closed_reference_macro_f1,1,0.23862469656180327,0.0,0.23862469656180327,0.23862469656180327
rq1,baselines,efc,delta_f1,1,0.4886789753275965,0.0,0.4886789753275965,0.4886789753275965
rq1,baselines,efc,far,1,0.004395604395604396,0.0,0.004395604395604396,0.004395604395604396
rq1,baselines,efc,fpr95,1,0.810989010989011,0.0,0.810989010989011,0.810989010989011
rq1,baselines,efc,frr,1,0.9333333333333333,0.0,0.9333333333333333,0.9333333333333333
rq1,baselines,efc,known_accuracy,1,0.756043956043956,0.0,0.756043956043956,0.756043956043956
rq1,baselines,efc,known_macro_f1,1,0.7273036718893998,0.0,0.7273036718893998,0.7273036718893998
rq1,baselines,efc,known_weighted_f1,1,0.7275580885502289,0.0,0.7275580885502289,0.7275580885502289
rq1,baselines,efc,open_world_macro_f1,1,0.6567114729532406,0.0,0.6567114729532406,0.6567114729532406
rq1,baselines,efc,oscr,1,0.49352869352869355,0.0,0.49352869352869355,0.49352869352869355
