rq,case,metric,direction,hedl,best_baseline,best_baseline_value,oriented_margin,verdict
rq1,CICIDS2017 Z1 LOAO,known_accuracy,higher,0.25054945054945055,ori,0.9032967032967033,-0.6527472527472528,loss
rq1,CICIDS2017 Z1 LOAO,known_macro_f1,higher,0.20452708081032311,ori,0.8980404656533146,-0.6935133848429915,loss
rq1,CICIDS2017 Z1 LOAO,known_weighted_f1,higher,0.20532294381133254,ori,0.8987785510288426,-0.6934556072175101,loss
rq1,CICIDS2017 Z1 LOAO,delta_f1,higher,-0.034097615751480154,ori,0.6594157690915113,-0.6935133848429915,loss
rq1,CICIDS2017 Z1 LOAO,unknown_auroc,higher,0.9155555555555555,ori,0.9586813186813186,-0.043125763125763106,loss
rq1,CICIDS2017 Z1 LOAO,fpr95,lower,0.41318681318681316,ori,0.11648351648351649,-0.29670329670329665,loss
rq1,CICIDS2017 Z1 LOAO,aupr_out,higher,0.5961838694995908,renoir_dml,0.5844689119791906,0.011714957520400193,win
rq1,CICIDS2017 Z1 LOAO,oscr,higher,0.2391941391941392,ori,0.8762637362637362,-0.637069597069597,loss
rq1,CICIDS2017 Z1 LOAO,open_world_macro_f1,higher,0.2307856918633314,ori,0.8068496333711753,-0.5760639415078439,loss
rq1,CICIDS2017 Z1 LOAO,unknown_f1,higher,0.5822784810126582,renoir_dml,0.43478260869565216,0.14749587231700606,win
rq2,CICIDS2017 openness O1,unknown_auroc,higher,0.9030036630036631,cd_zd_srl,0.882954822954823,0.02004884004884011,win
rq2,CICIDS2017 openness O1,fpr95,lower,0.42417582417582417,closr,0.27912087912087913,-0.14505494505494504,loss
rq2,CICIDS2017 openness O1,aupr_out,higher,0.5173391713211406,cd_zd_srl,0.5925916811558667,-0.07525250983472609,loss
rq2,CICIDS2017 openness O1,oscr,higher,0.36656898656898657,foss,0.7521855921855921,-0.38561660561660555,loss
rq2,CICIDS2017 openness O1,open_world_macro_f1,higher,0.3411741572782321,foss,0.7583132231405204,-0.4171390658622883,loss
rq2,CICIDS2017 near Z1,unknown_auroc,higher,0.9030036630036631,cd_zd_srl,0.882954822954823,0.02004884004884011,win
rq2,CICIDS2017 near Z1,fpr95,lower,0.42417582417582417,closr,0.27912087912087913,-0.14505494505494504,loss
rq2,CICIDS2017 near Z1,aupr_out,higher,0.5173391713211406,cd_zd_srl,0.5925916811558667,-0.07525250983472609,loss
rq2,CICIDS2017 near Z1,oscr,higher,0.36656898656898657,foss,0.7521855921855921,-0.38561660561660555,loss
rq2,CICIDS2017 near Z1,open_world_macro_f1,higher,0.3411741572782321,foss,0.7583132231405204,-0.4171390658622883,loss
rq2,CICIDS2017 far Z2,unknown_auroc,higher,0.6397129917052566,efc,0.911760215765101,-0.2720472240598444,loss
rq2,CICIDS2017 far Z2,fpr95,lower,0.5667396061269147,efc,0.16849015317286653,-0.3982494529540481,loss
rq2,CICIDS2017 far Z2,aupr_out,higher,0.12612897543800758,efc,0.4443574199802245,-0.3182284445422169,loss
rq2,CICIDS2017 far Z2,oscr,higher,0.25904534120401,efc,0.737061727138568,-0.478016385934558,loss
rq2,CICIDS2017 far Z2,open_world_macro_f1,higher,0.29979207058207297,foss,0.7641433846297442,-0.4643513140476712,loss
rq2,UNSW→ToN-IoT,unknown_auroc,higher,0.45258666666666664,closr,0.7306879999999999,-0.27810133333333326,loss
rq2,UNSW→ToN-IoT,fpr95,lower,0.968,closr,0.832,-0.136,loss
rq2,UNSW→ToN-IoT,aupr_out,higher,0.2214854669947121,closr,0.48120385573702396,-0.25971838874231185,loss
rq2,UNSW→ToN-IoT,oscr,higher,0.013781333333333333,cd_zd_srl,0.23067733333333335,-0.216896,loss
rq2,UNSW→ToN-IoT,open_world_macro_f1,higher,0.01637840670859539,foss,0.1483919347234112,-0.1320135280148158,loss
rq2,LOEO target UNSW,unknown_auroc,higher,0.557875,cd_zd_srl,0.541775,0.016100000000000003,win
rq2,LOEO target UNSW,fpr95,lower,0.99,closr,0.92,-0.06999999999999995,loss
rq2,LOEO target UNSW,aupr_out,higher,0.22889290803953474,closr,0.23219877985044718,-0.0033058718109124363,loss
rq2,LOEO target UNSW,oscr,higher,0.0,renoir_dml,0.097275,-0.097275,loss
rq2,LOEO target UNSW,open_world_macro_f1,higher,0.013245033112582781,cd_zd_srl,0.06992202286319933,-0.05667698975061655,loss
rq3,CICIoMT2024 Z1 deployment,aupr_out,higher,0.037183607569865565,efc,0.13057117803580065,-0.09338757046593509,loss
rq3,CICIoMT2024 Z1 deployment,unknown_precision,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment,unknown_recall,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment,unknown_f1,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment,tpr_at_5_fpr,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment,tpr_at_1_fpr,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment,tpr_at_0_1_fpr,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment,latency_ms_per_flow,lower,0.47913980000885203,ais_nids,0.04389400000218302,-0.435245800006669,loss
rq3,CICIoMT2024 Z1 deployment,throughput_fps,higher,2087.0735430067075,ais_nids,22782.1570134931,-20695.083470486392,loss
rq3,CICIoMT2024 Z1 deployment,parameters,lower,4404.0,efc,0.0,-4404.0,loss
