rq,case,metric,direction,hedl,best_baseline,best_baseline_value,oriented_margin,verdict
rq3,CICIoMT2024 Z1 deployment prevalence=0.5,aupr_out,higher,0.41695790132750654,ais_nids,0.7550383850270419,-0.33808048369953536,loss
rq3,CICIoMT2024 Z1 deployment prevalence=0.5,unknown_precision,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment prevalence=0.5,unknown_recall,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment prevalence=0.5,unknown_f1,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment prevalence=0.25,aupr_out,higher,0.18141953590906873,efc,0.44026873203074574,-0.258849196121677,loss
rq3,CICIoMT2024 Z1 deployment prevalence=0.25,unknown_precision,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment prevalence=0.25,unknown_recall,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment prevalence=0.25,unknown_f1,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment prevalence=0.1,aupr_out,higher,0.07484789874369653,efc,0.23008348757007233,-0.15523558882637578,loss
rq3,CICIoMT2024 Z1 deployment prevalence=0.1,unknown_precision,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment prevalence=0.1,unknown_recall,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment prevalence=0.1,unknown_f1,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment prevalence=0.05,aupr_out,higher,0.035908972383416955,efc,0.12603180875234613,-0.09012283636892918,loss
rq3,CICIoMT2024 Z1 deployment prevalence=0.05,unknown_precision,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment prevalence=0.05,unknown_recall,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment prevalence=0.05,unknown_f1,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment prevalence=0.01,aupr_out,higher,0.00851045428725243,efc,0.029239766081871343,-0.020729311794618913,loss
rq3,CICIoMT2024 Z1 deployment prevalence=0.01,unknown_precision,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment prevalence=0.01,unknown_recall,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment prevalence=0.01,unknown_f1,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment prevalence=0.001,aupr_out,higher,0.0029940119760479044,ais_nids,0.006802721088435374,-0.0038087091123874695,loss
rq3,CICIoMT2024 Z1 deployment prevalence=0.001,unknown_precision,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment prevalence=0.001,unknown_recall,higher,0.0,ais_nids,0.0,0.0,tie
rq3,CICIoMT2024 Z1 deployment prevalence=0.001,unknown_f1,higher,0.0,ais_nids,0.0,0.0,tie
