dataset,q,prevalence,arm,calibration_size,fdr_mean,fdr_ci95,power_mean,power_ci95,draws_over_q,seeds_over_q
cse2018,0.1,0.01,marginal BH,12000,0.09565962624967275,0.030314332272392854,0.9698743709086017,0.03966952026533309,0.36,0.4
cse2018,0.1,0.01,PACT conditional L=1,12000,0.06713096539539594,0.023332074640766705,0.897516398279141,0.16740231887300513,0.08,0.0
cse2018,0.1,0.01,PACT conditional L=5,12000,0.0514993484422119,0.015165263429821106,0.7739358800917694,0.3073938197890515,0.0,0.0
cse2018,0.1,0.01,PACT conditional L=100 (shipped),12000,0.03573291972965968,0.015120808272972824,0.43030718189420564,0.2880913545503091,0.0,0.0
cse2018,0.1,0.01,Storey-BH,12000,0.09671545062890505,0.030493101509329046,0.9707152366897157,0.03829937224367612,0.36,0.4
cse2018,0.1,0.01,BY,12000,0.008051826078765758,0.00952598154881967,0.10877744727868661,0.13714666404697493,0.0,0.0
cse2018,0.1,0.01,e-BH,12000,0.027276084722880133,0.04315460420824828,0.2871777247526485,0.3028239324245919,0.08,0.0
cse2018,0.1,0.001,marginal BH,12000,0.1978446659424496,0.05264149663527039,0.2857334767561629,0.2246024338909968,0.96,1.0
cse2018,0.1,0.001,PACT conditional L=1,12000,0.05560120253409863,0.06619077786852808,0.04615638704336659,0.05928055734881762,0.2,0.2
cse2018,0.1,0.001,PACT conditional L=5,12000,0.0014285714285714286,0.003072321615454335,0.0013479722064662508,0.0016319634780390566,0.0,0.0
cse2018,0.1,0.001,PACT conditional L=100 (shipped),12000,0.0,0.0,0.0,0.0,0.0,0.0
cse2018,0.1,0.001,Storey-BH,12000,0.1978446659424496,0.05264149663527039,0.2857334767561629,0.2246024338909968,0.96,1.0
cse2018,0.1,0.001,BY,12000,0.0,0.0,0.0,0.0,0.0,0.0
cse2018,0.1,0.001,e-BH,12000,0.12008589891677887,0.09910828593394663,0.19343038777974048,0.2151892509681056,0.56,0.6
cse2018,0.2,0.01,marginal BH,12000,0.1867347593270889,0.021402943754479518,0.9956877182463352,0.010719758616666242,0.2,0.4
